condition_file,trial,square_num,square_pos,square_corr,picture,sym_corr,memory_trials.thisRepN,memory_trials.thisTrialN,memory_trials.thisN,memory_trials.thisIndex,sym_trials.thisRepN,sym_trials.thisTrialN,sym_trials.thisN,sym_trials.thisIndex,recall.thisRepN,recall.thisTrialN,recall.thisN,recall.thisIndex,instuctions_1.started,instuctions_1.stopped,instuctions.started,instuctions.stopped,image_2.started,image_2.stopped,polygon.started,polygon.stopped,text_2.started,text_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_6.started,text_6.stopped,image.started,image.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,text_3.started,text_3.stopped,trialselect.started,trialselect.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,text_5.started,text_5.stopped,text_7.started,text_7.stopped,sym_resp.keys,sym_resp.corr,sym_resp.rt,sym_resp.started,sym_resp.stopped,instructions_2.started,instructions_2.stopped,square_resp.x,square_resp.y,square_resp.leftButton,square_resp.midButton,square_resp.rightButton,square_resp.clicked_name,square_resp.started,square_resp.stopped,square_correct,text_8.started,text_8.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,6.100917833,None,7.923019957,None,24.60646983,None,24.60646983,None,27.58936164,None,space,1.535101144,28.40625405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2021_Sep_18_1004,AY_SymmetrySpanWTrial,2020.2.4,59.99993688
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.37310346,None,30.9568674,None,left,2.011693042,29.97262874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2021_Sep_18_1004,AY_SymmetrySpanWTrial,2020.2.4,59.99993688
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9568674,None,32.98966377,None,34.0223964,None,-0.045555556,0.068888889,1,0,0,0.833022701,0.016018187,None,,,,,,,,,,,,,,,,,,,,,,,,1,2021_Sep_18_1004,AY_SymmetrySpanWTrial,2020.2.4,59.99993688
cond2.xlsx,5,16,"[0.225, -0.225]",square_16,images/sym5.jpg,left,0,0,0,1,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0223964,None,35.82311808,None,left,1,2.554387628,38.82286568,None,,,,,,,,,,,,,,,1,2021_Sep_18_1004,AY_SymmetrySpanWTrial,2020.2.4,59.99993688
cond2.xlsx,3,8,"[0.225, 0.075]",square_8,images/nsym4.jpg,right,0,0,0,1,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,1.245878255,43.42204908,None,,,,,,,,,,,,,,,1,2021_Sep_18_1004,AY_SymmetrySpanWTrial,2020.2.4,59.99993688
cond2.xlsx,2,13,"[-0.225, -0.225]",square_13,images/sym4.jpg,left,0,0,0,1,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.724315115,46.70541009,None,,,,,,,,,,,,,,,1,2021_Sep_18_1004,AY_SymmetrySpanWTrial,2020.2.4,59.99993688
cond2.xlsx,1,11,"[0.075, -0.075]",square_11,images/nsym3.jpg,right,0,0,0,1,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.404697423,49.47300185,None,,,,,,,,,,,,,,,1,2021_Sep_18_1004,AY_SymmetrySpanWTrial,2020.2.4,59.99993688
cond2.xlsx,4,11,"[0.075, -0.075]",square_11,images/nsym5.jpg,right,0,0,0,1,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.108414852,51.92214068,None,,,,,,,,,,,,,,,1,2021_Sep_18_1004,AY_SymmetrySpanWTrial,2020.2.4,59.99993688
cond2.xlsx,,,,,,,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.05609398,None,0.088888889,-0.081111111,1,0,0,square_11,0.516300578,None,0,,,,1,2021_Sep_18_1004,AY_SymmetrySpanWTrial,2020.2.4,59.99993688
cond2.xlsx,,,,,,,0,0,0,1,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.85513063,None,0.088888889,-0.081111111,1,0,0,square_11,0.514630585,None,0,,,,1,2021_Sep_18_1004,AY_SymmetrySpanWTrial,2020.2.4,59.99993688
cond2.xlsx,,,,,,,0,0,0,1,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.77178667,None,0.088888889,-0.081111111,1,0,0,square_11,0.514798471,None,0,,,,1,2021_Sep_18_1004,AY_SymmetrySpanWTrial,2020.2.4,59.99993688
cond2.xlsx,,,,,,,0,0,0,1,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.54031457,None,0.088888889,-0.081111111,1,0,0,square_11,0.515030916,None,1,,,,1,2021_Sep_18_1004,AY_SymmetrySpanWTrial,2020.2.4,59.99993688
cond2.xlsx,,,,,,,0,0,0,1,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.30575694,None,0.087777778,-0.081111111,1,0,0,square_11,0.512195526,None,1,,,,1,2021_Sep_18_1004,AY_SymmetrySpanWTrial,2020.2.4,59.99993688
cond2.xlsx,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.93926504,None,,1,2021_Sep_18_1004,AY_SymmetrySpanWTrial,2020.2.4,59.99993688
