condition_file,trial,square_num,square_pos,square_corr,picture,sym_corr,memory_trials.thisRepN,memory_trials.thisTrialN,memory_trials.thisN,memory_trials.thisIndex,sym_trials.thisRepN,sym_trials.thisTrialN,sym_trials.thisN,sym_trials.thisIndex,recall.thisRepN,recall.thisTrialN,recall.thisN,recall.thisIndex,instuctions_1.started,instuctions_1.stopped,instuctions.started,instuctions.stopped,image_2.started,image_2.stopped,polygon.started,polygon.stopped,text_2.started,text_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_6.started,text_6.stopped,image.started,image.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,text_3.started,text_3.stopped,trialselect.started,trialselect.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,text_5.started,text_5.stopped,text_7.started,text_7.stopped,sym_resp.keys,sym_resp.corr,sym_resp.rt,sym_resp.started,sym_resp.stopped,instructions_2.started,instructions_2.stopped,square_resp.x,square_resp.y,square_resp.leftButton,square_resp.midButton,square_resp.rightButton,square_resp.clicked_name,square_resp.started,square_resp.stopped,square_correct,text_8.started,text_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,6.226855598972179,None,8.11267255898565,None,8.478621067013592,None,8.478621067013592,None,11.46255870902678,None,space,1.5990879949531518,12.062025779974647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Sep_18_1008,AY_SymmetrySpanWTrial,2020.2.4,59.83307349503042,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.045937626971863,None,14.662702171015553,None,left,1.8849359580199234,13.6790768050123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Sep_18_1008,AY_SymmetrySpanWTrial,2020.2.4,59.83307349503042,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.662702171015553,None,16.579525300010573,None,17.08127272001002,None,-0.13555555555555557,0.12,1,0,0,1.3353637059917673,0.015634863812010735,None,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Sep_18_1008,AY_SymmetrySpanWTrial,2020.2.4,59.83307349503042,
cond1.xlsx,3,5,"[-0.225, 0.075]",square_5,images/nsym2.jpg,right,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.08127272001002,None,19.39545809000265,None,left,0,1.0843158269999549,22.261382935976144,None,,,,,,,,,,,,,,,001,2021_Sep_18_1008,AY_SymmetrySpanWTrial,2020.2.4,59.83307349503042,
cond1.xlsx,5,2,"[-0.075, 0.225]",square_2,images/sym3.jpg,left,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.4188615099992603,25.378832299029455,None,,,,,,,,,,,,,,,001,2021_Sep_18_1008,AY_SymmetrySpanWTrial,2020.2.4,59.83307349503042,
cond1.xlsx,4,13,"[-0.225, -0.225]",square_13,images/sym2.jpg,left,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.2020698530250229,27.845449922024272,None,,,,,,,,,,,,,,,001,2021_Sep_18_1008,AY_SymmetrySpanWTrial,2020.2.4,59.83307349503042,
cond1.xlsx,2,9,"[-0.225, -0.075]",square_9,images/sym1.jpg,left,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.23525102500570938,30.095122858998366,None,,,,,,,,,,,,,,,001,2021_Sep_18_1008,AY_SymmetrySpanWTrial,2020.2.4,59.83307349503042,
cond1.xlsx,1,6,"[-0.075, 0.075]",square_6,images/nsym1.jpg,right,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.29413543100235984,32.37915447098203,None,,,,,,,,,,,,,,,001,2021_Sep_18_1008,AY_SymmetrySpanWTrial,2020.2.4,59.83307349503042,
cond1.xlsx,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.69554797897581,None,-0.09222222222222222,0.08888888888888889,1,0,0,square_6,0.5146306988317519,None,0,,,,001,2021_Sep_18_1008,AY_SymmetrySpanWTrial,2020.2.4,59.83307349503042,
cond1.xlsx,,,,,,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.12855324102566,None,-0.09222222222222222,0.08666666666666667,1,0,0,square_6,0.5079404357820749,None,0,,,,001,2021_Sep_18_1008,AY_SymmetrySpanWTrial,2020.2.4,59.83307349503042,
